backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.06	0.04	0.01	53559296	8	6
genmc	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.06	0.03	0.01	53477376	8	6
cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.06	0.04	0.02	53460992	8	6
caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	9	0	0.11	0.08	0.01	54460416	24	16
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	9	0	0.09	0.06	0.02	54427648	24	16
cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	9	0	0.16	0.13	0.02	54558720	24	16
caat	tso	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52494336	4	0
genmc	tso	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52576256	4	0
cat	tso	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52592640	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52592640	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52723712	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52543488	4	0
caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.06	0.03	0.02	53886976	2	6
genmc	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.06	0.04	0.01	53788672	2	6
cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.06	0.04	0.01	53837824	2	6
caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.06	0.04	0.02	53444608	8	6
genmc	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.06	0.03	0.01	53493760	8	6
cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.06	0.04	0.01	53526528	8	6
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.09	0.06	0.02	54542336	0	0
genmc	tso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.08	0.05	0.02	54427648	0	0
cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.08	0.06	0.02	54427648	0	0
genmc	sc	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52641792	3	0
cat	sc	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52674560	3	0
caat	sc	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52576256	3	0
genmc	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52641792	4	0
cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52690944	4	0
caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52674560	4	0
genmc	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.06	0.03	0.02	53772288	2	6
cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.07	0.04	0.02	53755904	2	6
caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.06	0.03	0.01	53805056	2	6
genmc	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.06	0.04	0.02	53542912	8	6
cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.06	0.04	0.01	53542912	8	6
caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.06	0.04	0.02	53690368	8	6
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0	0.09	0.06	0.02	54591488	24	16
cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0	0.17	0.13	0.01	54476800	24	16
caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0	0.11	0.08	0.02	54525952	24	16
genmc	tso	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52723712	4	0
cat	tso	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52527104	4	0
caat	tso	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52576256	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52707328	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52838400	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52576256	4	0
genmc	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.06	0.03	0.01	53903360	2	6
cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.06	0.04	0.01	53706752	2	6
caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.06	0.04	0.01	53739520	2	6
genmc	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.06	0.03	0.01	53493760	8	6
cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.08	0.04	0.02	53493760	8	6
caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.06	0.04	0.01	53575680	8	6
genmc	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	42	0.08	0.05	0.02	54460416	0	0
cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	42	0.09	0.06	0.02	54509568	0	0
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	42	0.08	0.05	0.01	54558720	0	0
